март | 05/12/23 | 05:42:56 | 31.209.43.116 | Последните албуми на Маричков и Тотев могат да бъдат чути тук: https://shturcite.bandcamp.com/album/75 https://www.youtube.com/watch?v=IJOkQDsCM7c&list=PLyRfdVggLsxzvAsCyYrYPP74_5jovzXg1&index=1
Дон ЦЕци | 02/18/23 | 19:11:59 | 91.44.102.32 | Здравейте ! Издирвам един клип на Щурците , гледал съм го преди години в ютюб но сега не излиза . За съжаление не помня песента , възможно е да е "Неизживените неща" , но не съм сигурен . характерното беше , че Петъп гюзелев е с дълга дреха , по едно време прави стъпки като Ангъс Йънг - скача от сцената - по време на солото май . Повече не се сещам . Имате ли идея ? Поздрави ! 
март | 09/28/22 | 07:51:16 | 31.209.43.166 | Също интересно, че тук https://www.pop-rock-ethno.com/bg/zapisi-na-shturtsite/#appendix  се споменават някои песни, които иначе отсъстват в дискографията, която се намира в книгата за Щурците.
март | 09/28/22 | 07:50:44 | 31.209.43.166 | Не знаех, че толкова много песни са имали видео клипове. Беше ми интересно да ги видя.
Петко | 09/28/22 | 07:50:35 | 31.209.43.166 | На сайта на БТВ има предаване "БНТ на 60" с музиката на "Щурците". Около 3:20 има инструментал "Рано Сутрин, 1967 г." който не съм го чувал преди https://bnt.bg/news/bnt-na-60-s-muzikata-na-shturcite-298389news.html
Петко | 09/28/22 | 07:50:15 | 31.209.43.166 | Очевидно Веско Кисьов има сайт с интересни находки. Откъс от "Измислици", който започва с психарски цигулки преди киратата https://www.pop-rock-ethno.com/bg/zapisi-na-shturtsite/ Интересни клюки за творчески разногласия през 1969г. https://www.pop-rock-ethno.com/bg/tvorcheski-raznoglasia/
март | 09/28/22 | 07:49:31 | 31.209.43.166 | "Тръгни на път" я има отдавна в дискографията https://app.box.com/s/46deyzkmg7n5nq8dgcv8/file/948831297 Благодаря за останалите песни!
Петко | 09/28/22 | 07:49:01 | 31.209.43.166 | Б.Т.Р., Кирил Маричков и Валди Тотев - Не за мен https://www.youtube.com/watch?v=7_ePMsDhoDU
Петко | 09/28/22 | 07:48:36 | 31.209.43.166 | Из разни архиви и базари на стари плочи на Балкантон има две 'находки' от 1973 г., които никъде не съм ги виждал или чувал. "Тръгни на път" - малка плоча "Филмова музика от Борис Карадимчев" http://balkanton.su/album/3482  и малка плоча "Футбол, мода и песни" http://balkanton.su/album/3532 някаква сборна комбинация, на страна Б описанието е "Автор Р. Иларионов. Текст на песента Ник. Цонев. Муз. В. Казасян, Св. Русинов и П. Ступел. Изп. "Студио В", Д. Йосифов и "Щурците". Коментира Б. Симеонов. Редактор А. Георгиев" 
Петко | 09/28/22 | 07:47:29 | 31.209.43.166 | Мария Нейкова - "Страх" (1973) https://app.box.com/s/chkhk4y2b0kknpkfn87kas1iigu5enm6 Според описа на плочата https://bulgarianoriginals70s-80s.blogspot.com/2013/12/bta1640-73-maria-neikova-bta1640-73.html песента е с аранжимент на Борислав Панов и съпровод на Щурците
Петко | 09/28/22 | 07:45:51 | 31.209.43.166 | Стефан Воронов и Щурците - "В телефонната кабина" (1967) https://bnt.bg/bg/a/stefan-voronov-i-shturtsite-zaedno-v-telefonnata-kabina-1967-godina
март | 05/25/17 | 16:37:44 | 213.89.179.15 | Наложи се да възстановя страницата във видът в който беше когато я създадох за първи път. Причината е, че се налагаше да редактирам кода и всеки път когато от хостинг сайта променяха нещо, а за съжаление вече имам все по-малко време и желание да правя това. Важното е, че информацията е достъпна макар и в по-опростен вид отколкото беше преди.
Стоян Андонов Стaйков | 03/10/17 | 11:55:46 | 81.45.73.73 | Необходимост  Изпълнител: ВИГ ''Щурците'' Текст: Димитър Арабaджиев Музика: Петър Ступел Aранжимент: Кирил Маричков Aлбум: ''Вкусът на времето 2'' (1982)  Интро: 4/4 [Am][Am]  [Am] Ако се спусне рано вечерта, [Em/G] [Am] и ако не узрее ново у[Em/G]тро, [F7+] aко не теглиш ни[Dm7/9] една черта под ни[G]коя от сво[E/G#]ите минути[Am E4 E].  [Am] Ако презреш сама[Em/G]та суета дали[Am] си бил начало и наче[Em/G]ло, [F7+] aко загубиш вси[F#m7/5-]чко на света: това[G] не значи, [E/G#] че не си спече[Am]лил. [E4 E]  Това[A] не значи, че[A7+/G#] не си спасе[F#m]н, [A6/E] защо[A]то няма у[A7+/G#]част по-краси[F#m]ва [A6/E] и ня[Bm]ма изход ни[Bm/A]какъв, осве[G]н [Bm/F#] да пре[E9/4]възпиташ слабостта[E/G#] си в си[A]ла. [E4 E]  Това[A] не значи, че[A7+/G#] не си спасе[F#m]н, [A6/E] защо[A]то няма у[A7+/G#]част по-краси[F#m]ва [A6/E] и ня[Bm]ма изход ни[Bm/A]какъв, осве[G]н [Bm/F#] да пре[E9/4]възпиташ слабостта [E/G#] си в си[A]ла. [E4 E]  [Am][Em/G][Am][Em/G][C C7+/B][Am Am7/G][F7+ F#m7/5-][G E/G#]  Това[A] не знач
Мравка | 12/22/16 | 21:04:44 | 46.10.234.154 | Щурците пеят и през Зимата, заради 3 юни, зала Армеец Фронтално - Щурците 50 години Успехи за билети!
Петко | 11/26/16 | 14:13:21 | 73.55.191.189 | В блога на Антон има една песен, в която Щурците акомпанират на Мария Нейкова http://bulgarianoriginals70s-80s.blogspot.com/2016/10/bta1908-1909-75-stars-of-bulgarian.php
Щурец и Мравка | 10/18/16 | 06:25:06 | 95.43.0.73 | Предчустваме Великото монументално турне - 50 години Щурците
Рок-носталгия | 07/20/16 | 01:00:03 | 95.43.11.149 | 25 години от знаменития концерт на стадион Академик с участието на Щурците на 20 юли1991год.
щуреца | 07/20/16 | 00:56:27 | 95.43.11.149 | Интересно, Песничка за модата къде се е покрила
март | 01/30/16 | 15:12:39 | 46.239.112.40 | Доживяхме да чуем и "Утрото". Слагам я при останалите песни.
Петко | 01/26/16 | 12:46:15 | 207.13.197.220 | Още един линк http://bnr.bg/horizont/page/utroto-kiril-marichkov
Петко | 01/26/16 | 12:32:45 | 207.13.197.220 | Интервю на Кирил Маричков за БНР, с нов запис на песента "Утрото" от филма "Вчера" http://bnr.bg/post/100600163/dvoiniat-album-nai-dobroto-ot-kiril-marichkov-i-shturcite-izleze-na-cdh2-a-skoro-i-na-gramofonni-plochi
Ива | 06/10/15 | 05:28:05 | 137.204.20.59 | Здравейте! Някакви идеи за скорошни концерти или изяви на Щурците през 2015-2016 по българска земя?
Климент | 03/22/15 | 18:23:52 | 93.152.130.150 | Филмът на Умно село е всъщност е от 2004.
Климент | 03/22/15 | 17:36:50 | 93.152.130.150 | Умно село: Yesterday /портрет на музиканта Кирил Маричков/ – 31 октомври 2014 http://bnt.bg/predavanyia/umno-selo/umno-selo-yesterday-portret-na-muzikanta-kiril-marichkov-31-oktomvri-2014
Климент | 02/21/15 | 12:20:47 | 95.42.99.252 | Благодаря Петко!
Петко | 01/09/15 | 22:38:24 | 37.58.58.206 | Песен без думи https://www.youtube.com/watch?v=-jOs0aXWr4E - за пръв път я чувам цялата, за съжаление началото е отрязано
Петко | 01/09/15 | 22:34:48 | 37.58.58.206 | Кирил Маричков в "Часът на Българската Музика" https://www.youtube.com/watch?v=ZqIYs9ohFs4
март | 08/29/14 | 13:21:53 | 193.183.59.181 | Валди Тотев - Дворът на рая (2014) https://www.youtube.com/watch?v=w4wQZ1iUIL8
Александър | 04/25/14 | 13:54:37 | 46.238.48.33 | 25.04.2014. Една година отмина, но времето не може да изтрие споменът и творбите на гениите. Днес се опитах да почета паметта на Петър Гюзелев като оставя цветя на гробът му, но той се оказа че не е там, където предполагах. Като (ако) разбера къде е ще мога да поправя грешното си предположение. Иначе тази година ще посрещам за втори път 1 Юли на Камен Бряг с фланелката на Щурците. И се радвам, че негласната ми идея чий да е третият паметник на музикантите в Каварна вече е факт. Участието ми в това мероприятие просто е ясно. Не съм имал възможността да се срещна очи в очи с никого от Щурците, но това което ми дават техните песни почти компенсира този факт. Почивай в мир, Петър Гюзелев, може и да се видим в твоят свят.
Стефан | 11/03/13 | 14:39:39 | 197.225.67.195 | Никога няма да забравя този ден... бях 10 годишен, бяхме на почивка в Ахтопол...станцията на някакво си предрприятие..отиваме на вечеря в ресторанта и баща ми ми вика...знаеш ли кой стои на съседната маса?Петър Гюзелев....след половин час бяхме вече на една маса и Пеци ни свири на китара....беше някъде през 1980 ....помня добре, че той ми изглеждаше огромен...още тогава се почуствах горд, че съм стоял на една маса със член от щурците....най-накрая  33 по късно успях да стисна ръката на Влади Тотев в един нощен клуб...те си остават най-великата българска група завинаги ....
март | 09/07/13 | 20:55:31 | 83.179.28.79 | Понеже виждам, че почти никой не знае за песните на Щурците, които са качени на сайта, си позволих да ги кача и в ютуб http://www.youtube.com/user/shturcite/videos
март | 08/24/13 | 05:15:56 | 83.179.28.79 | Интересна находка: филмът Щурците - 20 години по-късно (1987) http://www.youtube.com/watch?v=dSQzi3pMc7IeeNUVPgpOdHaw&bvm=bv.51156542,d.bGE
фани: in memoriam Пеци: think B. Dylan:  | 04/27/13 | 12:43:31 | 212.5.158.24 | Walkin', I'm walkin' through streets that are dead Walkin' with you in my head My feet are so tired My brain is so wired And the clouds are weepin'.
фани | 04/27/13 | 12:38:55 | 212.5.158.24 | in memoriam Пеци: think B. Dylan:  I'm walkin' through streets that are dead
Алекс | 04/25/13 | 06:13:11 | 84.40.108.121 | Петър Гюзелев почина!
GD | 04/13/13 | 10:18:22 | 60.51.111.95 | Търсете в Soulseek. Много от песните (поне 80 парчета) които се търсят могат да се намерят там. Качеството е нормално. Не е като за големи меломани и перфекционисти, но е много добро.
март | 04/10/13 | 13:29:34 | 83.177.185.38 | Изнамерих още няколко песни от албума на Петър Гюзелев. За съжаление някои от тях са с много ниско качество, а на други им липсва малко от началото.
март | 04/03/13 | 03:39:59 | 83.191.244.59 | Нямам ги
Фокъртизъм | 04/03/13 | 02:36:14 | 138.217.152.144 | Имаш ли албумите "1968-1980" и "Бест баладс" във ФЛАК???
март | 03/17/13 | 18:42:10 | 72.14.221.104 | В "аудио" можете да намерите три песни от новия албум на Петър Гюзелев - Изповед (2013). Изтеглих ги от Youtube предполагам, че са сингли. В това интервю http://www.youtube.com/watch?v=Oc2E2dBI-sQ също могат да се чуят няколко песни от албума.
frankyman | 01/18/13 | 05:17:15 | 130.204.61.117 | още една обложка на албума от 76-та г. - http://foto-bg.info/display/PC0LJP19O9R9BVQSYL0NAUTSLDGBBC6I.jpg
ДИМИТЪР СИЛИСТРА | 01/10/13 | 08:42:38 | 212.45.79.74 | ИЗЛЯЗЪЛ Е АЛБУМЪТ НА ПЕЦИ ГЮЗЕЛЕВ
Алекс | 11/24/12 | 13:23:14 | 130.204.123.125 | Няма много активност, напоследак!
Мария | 11/12/12 | 05:01:50 | 89.252.235.201 | Марти, от кога не си влизал в тази страница?
Алекс | 10/07/12 | 03:59:13 | 130.204.113.128 | Ама,на мен ми трябват орегинални!
Алекс  | 10/07/12 | 03:54:53 | 130.204.113.128 | Благодаря,Март!  :)
март | 10/06/12 | 05:42:50 | 72.14.221.104 | Добавен е торент в "Аудио" с всички песни на групата. Формат - flac (за издаваните на cd) и mp3 (за рипнатите от плочи песни). Добавени метатагове и обложки.
Алекс | 09/12/12 | 08:14:27 | 130.204.112.42 | Някой да  продава някой техен диск?
Петко | 06/25/12 | 13:25:54 | 216.91.204.49 | Рафаела Косева - "Магьосник" http://www.youtube.com/watch?v=Pf6MkTDaJiA Музика и аранжимент: Кирил Маричков, Текст: Христо Карастоянов
Петко | 06/25/12 | 11:05:25 | 216.91.204.49 | Кирил Маричков (02:00) в записа на "Една Единствена Земя" на Кадзуфуми Миядзава http://www.youtube.com/watch?v=Q8eyBYTvhj8
Петко | 04/10/12 | 01:23:54 | 68.90.43.208 | още от Валди Тотев http://www.24chasa.bg/Article.asp?ArticleId=1163307
Петко | 04/10/12 | 01:11:18 | 68.90.43.208 | Валди Тотев пише мемоари (24 Часа) - http://www.24chasa.bg/Article.asp?ArticleId=1043032  http://www.24chasa.bg/Article.asp?ArticleId=1316052
март | 04/06/12 | 12:14:27 | 72.14.221.104 | Биографичната книга за Щурците - Вкусът на времето от Румен Янев: http://shturcite.comlu.com/book/index.php
Петко | 03/24/12 | 02:51:45 | 68.92.60.211 | Песента от филма "Индиански игри" (mp3) http://www.box.com/s/c0580364dae8e89a1bce позакърпена с бели конци от YouTube http://www.youtube.com/watch?v=icGizgzCtvQ
